date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,sentiment,clean_review
2025-05-09,Review title 283,"Great experience, smooth performance and useful features.",4,user283,68,7,Google Play,zh,UK,4.2.1,Yes,Positive,great experience smooth performance useful feature
,Review title 12,"Not bad, but updates are needed for better performance.",3,user12,153,9,Google Play,hi,Poland,4.2.1,No,Neutral,bad update needed better performance
,Review title 357,"Not bad, but updates are needed for better performance.",3,user357,191,9,Flipkart,ja,Poland,4.2.1,Yes,Neutral,bad update needed better performance
2025-05-03,Review title 194,"Great experience, smooth performance and useful features.",4,user194,195,7,App Store,hi,UK,1.2.3,Yes,Positive,great experience smooth performance useful feature
,Review title 455,"Highly satisfied, the app works exactly as expected.",4,user455,38,8,Amazon,fr,India,2.1.4,No,Positive,highly satisfied app work exactly expected
2024-08-08,Review title 245,Poor performance and not user-friendly.,2,user245,112,5,Google Play,ja,Germany,3.5.6,No,Negative,poor performance userfriendly
,Review title 23,Very reliable and worth using regularly.,4,user23,20,6,Flipkart,ar,Kenya,4.2.1,Yes,Positive,reliable worth using regularly
,Review title 208,Works fine but there is room for improvement.,3,user208,61,8,Website,hi,USA,3.5.6,Yes,Neutral,work fine room improvement
,Review title 197,"Great experience, smooth performance and useful features.",5,user197,182,7,Website,zh,France,3.5.6,No,Positive,great experience smooth performance useful feature
,Review title 247,Poor performance and not user-friendly.,2,user247,187,5,Flipkart,fr,Germany,1.2.3,Yes,Negative,poor performance userfriendly
,Review title 137,"Highly satisfied, the app works exactly as expected.",5,user137,43,8,Website,fr,Nepal,3.5.6,Yes,Positive,highly satisfied app work exactly expected
,Review title 301,"Great experience, smooth performance and useful features.",5,user301,30,7,Google Play,ja,USA,2.1.4,Yes,Positive,great experience smooth performance useful feature
,Review title 282,"Excellent app, very easy to use and extremely helpful.",5,user282,37,9,App Store,fr,Poland,3.5.6,No,Positive,excellent app easy use extremely helpful
,Review title 195,"Not bad, but updates are needed for better performance.",3,user195,143,9,Google Play,fr,Kenya,2.1.4,No,Neutral,bad update needed better performance
,Review title 91,"Waste of time, does not meet expectations.",2,user91,26,7,Amazon,en,Poland,1.2.3,No,Negative,waste time meet expectation
,Review title 481,"Not satisfied, many bugs and issues.",1,user481,105,6,Website,hi,Poland,4.2.1,Yes,Negative,satisfied many bug issue
2024-06-01,Review title 71,"Excellent app, very easy to use and extremely helpful.",4,user71,161,9,App Store,pt,Germany,1.2.3,No,Positive,excellent app easy use extremely helpful
,Review title 330,"Waste of time, does not meet expectations.",2,user330,117,7,Google Play,en,Italy,3.5.6,No,Negative,waste time meet expectation
2024-03-07,Review title 460,"Great experience, smooth performance and useful features.",5,user460,104,7,Google Play,ar,UK,4.2.1,Yes,Positive,great experience smooth performance useful feature
,Review title 219,"Highly satisfied, the app works exactly as expected.",4,user219,151,8,Amazon,zh,Kenya,5.0.3,No,Positive,highly satisfied app work exactly expected
2024-03-08,Review title 8,"Highly satisfied, the app works exactly as expected.",4,user8,152,8,Amazon,ja,Italy,5.0.3,No,Positive,highly satisfied app work exactly expected
2024-01-05,Review title 270,"Decent app, neither too good nor too bad.",3,user270,165,8,Amazon,fr,UK,4.2.1,Yes,Neutral,decent app neither good bad
,Review title 132,"Average experience, some features could be improved.",3,user132,3,7,Flipkart,ja,Germany,4.2.1,Yes,Neutral,average experience feature could improved
,Review title 410,Works fine but there is room for improvement.,3,user410,134,8,App Store,hi,UK,4.2.1,No,Neutral,work fine room improvement
,Review title 91,"Waste of time, does not meet expectations.",2,user91,26,7,Amazon,en,Poland,1.2.3,No,Negative,waste time meet expectation
,Review title 258,Works fine but there is room for improvement.,3,user258,95,8,Google Play,zh,Italy,4.2.1,Yes,Neutral,work fine room improvement
,Review title 182,"Highly satisfied, the app works exactly as expected.",5,user182,6,8,Website,fr,Nepal,1.2.3,Yes,Positive,highly satisfied app work exactly expected
,Review title 327,"Excellent app, very easy to use and extremely helpful.",4,user327,84,9,App Store,pt,Qatar,1.2.3,Yes,Positive,excellent app easy use extremely helpful
,Review title 438,"Decent app, neither too good nor too bad.",3,user438,192,8,Website,de,UK,1.2.3,No,Neutral,decent app neither good bad
2024-08-02,Review title 253,The app is okay and does its job reasonably well.,3,user253,108,10,Amazon,en,Kenya,4.2.1,No,Neutral,app okay job reasonably well
,Review title 198,"Decent app, neither too good nor too bad.",3,user198,144,8,Amazon,ja,Poland,3.5.6,No,Neutral,decent app neither good bad
,Review title 387,"Highly satisfied, the app works exactly as expected.",4,user387,90,8,App Store,ar,India,5.0.3,No,Positive,highly satisfied app work exactly expected
,Review title 209,Very reliable and worth using regularly.,4,user209,33,6,App Store,de,Germany,2.1.4,No,Positive,reliable worth using regularly
,Review title 149,"Very disappointing experience, the app crashes often.",2,user149,17,7,Flipkart,ar,France,4.2.1,No,Negative,disappointing experience app crash often
,Review title 483,Very reliable and worth using regularly.,4,user483,157,6,Website,de,India,4.2.1,No,Positive,reliable worth using regularly
,Review title 163,"Average experience, some features could be improved.",3,user163,125,7,Amazon,de,USA,1.2.3,Yes,Neutral,average experience feature could improved
,Review title 322,"Great experience, smooth performance and useful features.",4,user322,78,7,Flipkart,ja,Nepal,5.0.3,No,Positive,great experience smooth performance useful feature
2024-02-09,Review title 33,"Average experience, some features could be improved.",3,user33,164,7,Amazon,hi,Germany,4.2.1,Yes,Neutral,average experience feature could improved
,Review title 258,Works fine but there is room for improvement.,3,user258,95,8,Google Play,zh,Italy,4.2.1,Yes,Neutral,work fine room improvement
,Review title 285,"Very disappointing experience, the app crashes often.",2,user285,38,7,Website,de,Qatar,1.2.3,Yes,Negative,disappointing experience app crash often
,Review title 134,"Terrible experience, needs major improvements.",2,user134,199,5,App Store,ja,Qatar,3.5.6,Yes,Negative,terrible experience need major improvement
,Review title 70,"Great experience, smooth performance and useful features.",4,user70,186,7,Amazon,zh,Nepal,3.5.6,No,Positive,great experience smooth performance useful feature
,Review title 430,Works fine but there is room for improvement.,3,user430,166,8,App Store,es,France,5.0.3,No,Neutral,work fine room improvement
2025-03-03,Review title 223,The app is okay and does its job reasonably well.,3,user223,119,10,Website,hi,India,4.2.1,No,Neutral,app okay job reasonably well
,Review title 57,"Highly satisfied, the app works exactly as expected.",4,user57,38,8,Website,ja,Kenya,4.2.1,Yes,Positive,highly satisfied app work exactly expected
,Review title 457,"Great experience, smooth performance and useful features.",4,user457,74,7,App Store,pt,France,4.2.1,No,Positive,great experience smooth performance useful feature
2024-05-08,Review title 147,"Average experience, some features could be improved.",3,user147,126,7,Flipkart,ar,Kenya,2.1.4,No,Neutral,average experience feature could improved
,Review title 274,"Highly satisfied, the app works exactly as expected.",4,user274,82,8,Amazon,de,Kenya,2.1.4,Yes,Positive,highly satisfied app work exactly expected
,Review title 161,"Highly satisfied, the app works exactly as expected.",4,user161,98,8,Flipkart,ja,Kenya,1.2.3,No,Positive,highly satisfied app work exactly expected
,Review title 476,The app is okay and does its job reasonably well.,3,user476,106,10,Website,de,Qatar,2.1.4,No,Neutral,app okay job reasonably well
,Review title 144,"Waste of time, does not meet expectations.",2,user144,78,7,App Store,ar,Germany,3.5.6,No,Negative,waste time meet expectation
2024-09-07,Review title 187,"Very disappointing experience, the app crashes often.",2,user187,43,7,App Store,fr,USA,4.2.1,No,Negative,disappointing experience app crash often
,Review title 266,"Great experience, smooth performance and useful features.",4,user266,148,7,Google Play,es,Italy,5.0.3,Yes,Positive,great experience smooth performance useful feature
